file,clip_id,cue_index,start_tc,end_tc,duration_sec,text,word_count,char_count
tx_001.srt,tx_001,1,"00:00:00,000","00:00:03,439",3.439,ratified. Yeah. Go ahead. Anybody else?,6,39
tx_001.srt,tx_001,2,"00:00:02,240","00:00:03,359",1.119,">> Mr. President, who would you like to",8,39
tx_001.srt,tx_001,3,"00:00:03,439","00:00:05,440",2.001,"see? Mr. President, are you going to ask",8,40
tx_001.srt,tx_001,4,"00:00:05,599","00:00:06,480",0.881,Brendan Carr to weigh in on other late,8,38
tx_001.srt,tx_001,5,"00:00:08,880","00:00:12,719",3.839,night hosts that you have uh absent that,8,40
tx_001.srt,tx_001,6,"00:00:12,080","00:00:14,879",2.799,should be on the air?,5,21
tx_001.srt,tx_001,7,"00:00:12,718","00:00:17,918",5.2,>> Late night host is on network,7,32
tx_001.srt,tx_001,8,"00:00:14,880","00:00:19,679",4.799,television. There is a licensing. I'll,6,38
tx_001.srt,tx_001,9,"00:00:17,920","00:00:23,279",5.359,give you an example. I read someplace,7,37
tx_001.srt,tx_001,10,"00:00:19,679","00:00:25,038",5.359,that the networks were 97% against me. I,8,40
tx_001.srt,tx_001,11,"00:00:23,278","00:00:27,758",4.48,got 97%,2,7
tx_001.srt,tx_001,12,"00:00:25,039","00:00:29,920",4.881,negative. And yet I won easily. They won,8,40
tx_001.srt,tx_001,13,"00:00:27,760","00:00:32,800",5.04,all seven swing states popular but won,7,38
tx_001.srt,tx_001,14,"00:00:29,920","00:00:36,160",6.24,everything and and,3,18
tx_001.srt,tx_001,15,"00:00:32,799","00:00:40,398",7.599,they're 97% against they give me only,7,37
tx_001.srt,tx_001,16,"00:00:36,159","00:00:43,599",7.44,bad publicity or press. I mean they're,7,38
tx_001.srt,tx_001,17,"00:00:40,399","00:00:45,759",5.36,getting a license. I I would think maybe,8,40
tx_001.srt,tx_001,18,"00:00:43,600","00:00:47,519",3.919,their license should be taken away. I it,8,40
tx_001.srt,tx_001,19,"00:00:45,759","00:00:49,359",3.6,will be up to Brendan Carr. I think,8,35
tx_001.srt,tx_001,20,"00:00:47,520","00:00:51,760",4.24,Brendan Carr is outstanding. He's a,6,35
tx_001.srt,tx_001,21,"00:00:49,359","00:00:52,959",3.6,patriot. He loves our country and he's a,8,40
tx_001.srt,tx_001,22,"00:00:51,759","00:00:55,359",3.6,tough guy.,2,10
tx_001.srt,tx_001,23,"00:00:52,960","00:00:58,799",5.839,>> So we'll have to see.,6,24
tx_001.srt,tx_001,24,"00:00:55,359","00:01:01,357",5.998,"When you think about this, 97% of the",8,37
tx_001.srt,tx_001,25,"00:00:58,799","00:01:03,759",4.96,stories are opposed to me and yet I win,9,39
tx_001.srt,tx_001,26,"00:01:01,359","00:01:05,519",4.16,easily the election. It's pretty amazing,6,40
tx_001.srt,tx_001,27,"00:01:03,759","00:01:10,638",6.879,when you think of it. That shows I have,9,39
tx_001.srt,tx_001,28,"00:01:05,519","00:01:10,640",5.121,no credibility. Go ahead. pass. I I,7,35
tx_002.srt,tx_002,1,"00:00:00,000","00:00:03,200",3.2,"to represent from New York, Miss Clark,",7,39
tx_002.srt,tx_002,2,"00:00:01,600","00:00:02,960",1.36,for five minutes for your questions.,6,36
tx_002.srt,tx_002,3,"00:00:03,200","00:00:06,479",3.279,">> Good morning and thank you, Chairman",7,39
tx_002.srt,tx_002,4,"00:00:04,559","00:00:08,558",3.999,"Hudson, Ranking Member Matts Suie for",6,37
tx_002.srt,tx_002,5,"00:00:06,480","00:00:11,440",4.96,convening this hearing. Given the,5,33
tx_002.srt,tx_002,6,"00:00:08,558","00:00:14,159",5.601,"actions of the FCC under Chairman Carr,",7,39
tx_002.srt,tx_002,7,"00:00:11,439","00:00:17,038",5.599,it's long overdue. Less than one year,7,37
tx_002.srt,tx_002,8,"00:00:14,160","00:00:19,118",4.958,"into his tenure, the FCC under Chairman",7,39
tx_002.srt,tx_002,9,"00:00:17,039","00:00:20,959",3.92,Carr has given this committee many,6,34
tx_002.srt,tx_002,10,"00:00:19,118","00:00:23,438",4.32,worthy avenues of exploration and,5,33
tx_002.srt,tx_002,11,"00:00:20,960","00:00:25,920",4.96,"oversight, most of which appear to stem",7,39
tx_002.srt,tx_002,12,"00:00:23,439","00:00:28,400",4.961,from his new role as an obsequious,7,34
tx_002.srt,tx_002,13,"00:00:25,920","00:00:31,279",5.359,"partisan, fulfilling President Trump's",4,38
tx_002.srt,tx_002,14,"00:00:28,399","00:00:33,599",5.2,desire to exact revenge on his perceived,7,40
tx_002.srt,tx_002,15,"00:00:31,278","00:00:36,238",4.96,enemies and lying the pockets of the,7,36
tx_002.srt,tx_002,16,"00:00:33,600","00:00:38,079",4.479,oligarch class. While appearing before,5,38
tx_002.srt,tx_002,17,"00:00:36,238","00:00:39,919",3.681,this committee less than four years ago,7,39
tx_002.srt,tx_002,18,"00:00:38,079","00:00:41,999",3.92,"under the Biden administration, then",5,36
tx_002.srt,tx_002,19,"00:00:39,920","00:00:44,799",4.879,Commissioner Carr rightly acknowledged,4,38
tx_002.srt,tx_002,20,"00:00:42,000","00:00:47,280",5.28,the imp independence of the FCC free,7,36
tx_002.srt,tx_002,21,"00:00:44,799","00:00:49,119",4.32,"from executive branch interference, but",5,39
tx_002.srt,tx_002,22,"00:00:47,280","00:00:51,440",4.16,recently made clear that under the Trump,7,40
tx_002.srt,tx_002,23,"00:00:49,119","00:00:53,838",4.719,"administration, that independence is",4,36
tx_002.srt,tx_002,24,"00:00:51,439","00:00:55,679",4.24,gone. While this may seem like a,7,32
tx_002.srt,tx_002,25,"00:00:53,840","00:00:59,120",5.28,"shocking about face, it shouldn't be",6,36
tx_002.srt,tx_002,26,"00:00:55,679","00:01:02,557",6.878,that surprising given Mr. Carr's role as,7,40
tx_002.srt,tx_002,27,"00:00:59,119","00:01:05,599",6.48,author of the horrific Project 2025,6,35
tx_002.srt,tx_002,28,"00:01:02,558","00:01:07,437",4.879,manifesto as well as the frankly bizarre,7,40
tx_002.srt,tx_002,29,"00:01:05,599","00:01:09,999",4.4,choice to wear a golden lapel pin,7,33
tx_002.srt,tx_002,30,"00:01:07,438","00:01:12,319",4.881,bearing President Trump's face. The,5,35
tx_002.srt,tx_002,31,"00:01:10,000","00:01:14,479",4.479,weaponization of the FCC under Chairman,6,39
tx_002.srt,tx_002,32,"00:01:12,319","00:01:16,798",4.479,Carr is not just frustrating but,6,32
tx_002.srt,tx_002,33,"00:01:14,478","00:01:19,678",5.2,dangerous. Dangerous for the nation and,6,39
tx_002.srt,tx_002,34,"00:01:16,799","00:01:21,600",4.801,the ideals upon which it was founded.,7,37
tx_002.srt,tx_002,35,"00:01:19,680","00:01:23,280",3.6,Individuals freedom of speech and a,6,35
tx_002.srt,tx_002,36,"00:01:21,599","00:01:26,238",4.639,press corps free from political,5,31
tx_002.srt,tx_002,37,"00:01:23,280","00:01:30,079",6.799,intimidation are vital to a democracy.,6,38
tx_002.srt,tx_002,38,"00:01:26,239","00:01:32,477",6.238,It's what also allows informed citizens,6,39
tx_002.srt,tx_002,39,"00:01:30,079","00:01:35,918",5.839,to speak their minds without fear of,7,36
tx_002.srt,tx_002,40,"00:01:32,478","00:01:39,039",6.561,government reprisal and serves as an as,7,39
tx_002.srt,tx_002,41,"00:01:35,920","00:01:41,040",5.12,an important check on those in power.,7,37
tx_002.srt,tx_002,42,"00:01:39,040","00:01:43,040",4.0,"Unfortunately, these ideals are lost",5,36
tx_002.srt,tx_002,43,"00:01:41,040","00:01:45,360",4.32,"under this iteration of the FCC, which",7,38
tx_002.srt,tx_002,44,"00:01:43,040","00:01:47,919",4.879,appears bound to the whims of a,7,31
tx_002.srt,tx_002,45,"00:01:45,359","00:01:50,719",5.36,president intent on punishing those who,6,39
tx_002.srt,tx_002,46,"00:01:47,920","00:01:53,759",5.839,report accurately on his unsettling,5,35
tx_002.srt,tx_002,47,"00:01:50,719","00:01:55,919",5.2,"behavior. Because my time is limited, I",7,39
tx_002.srt,tx_002,48,"00:01:53,759","00:01:58,239",4.48,can't possibly list every example of the,7,40
tx_002.srt,tx_002,49,"00:01:55,920","00:02:00,880",4.96,weaponization of the FCC in the last,7,36
tx_002.srt,tx_002,50,"00:01:58,239","00:02:03,519",5.28,year. But a few that come to mind,8,33
tx_002.srt,tx_002,51,"00:02:00,879","00:02:05,438",4.559,include reinstating complaints against,4,38
tx_002.srt,tx_002,52,"00:02:03,519","00:02:07,757",4.238,news organizations that were critical of,6,40
tx_002.srt,tx_002,53,"00:02:05,438","00:02:09,758",4.32,Trump during the election while failing,6,39
tx_002.srt,tx_002,54,"00:02:07,759","00:02:11,760",4.001,to reinstate a petition filed against,6,37
tx_002.srt,tx_002,55,"00:02:09,758","00:02:15,038",5.28,"the president's media outlet of choice,",6,39
tx_002.srt,tx_002,56,"00:02:11,759","00:02:17,759",6.0,Fox. Ordering baseless investigations,4,37
tx_002.srt,tx_002,57,"00:02:15,039","00:02:19,838",4.799,into NPR and PBS.,4,17
tx_002.srt,tx_002,58,"00:02:17,759","00:02:22,877",5.118,using mergers to extract political,5,34
tx_002.srt,tx_002,59,"00:02:19,840","00:02:25,120",5.28,revenge and more such as withholding,6,36
tx_002.srt,tx_002,60,"00:02:22,878","00:02:27,439",4.561,approval of the Paramount Sky Dance,6,35
tx_002.srt,tx_002,61,"00:02:25,120","00:02:29,999",4.879,merger until Trump's personal lawsuit,5,37
tx_002.srt,tx_002,62,"00:02:27,439","00:02:31,839",4.4,"was settled with financial payment,",5,35
tx_002.srt,tx_002,63,"00:02:30,000","00:02:35,360",5.36,launching a ridiculous investigation,4,36
tx_002.srt,tx_002,64,"00:02:31,840","00:02:37,439",5.599,into KCBS in San Jose for merely,7,32
tx_002.srt,tx_002,65,"00:02:35,360","00:02:40,640",5.28,reporting on ICE activity in their own,7,38
tx_002.srt,tx_002,66,"00:02:37,439","00:02:43,278",5.839,"community, threatening to unilaterally",4,38
tx_002.srt,tx_002,67,"00:02:40,639","00:02:46,639",6.0,"alter national media ownership limits,",5,38
tx_002.srt,tx_002,68,"00:02:43,280","00:02:49,919",6.639,which would reduce diversity in media,6,37
tx_002.srt,tx_002,69,"00:02:46,639","00:02:52,877",6.238,"and further endanger local news, overtly",6,40
tx_002.srt,tx_002,70,"00:02:49,919","00:02:55,199",5.28,partisan reinterpretations of the ACC's,5,39
tx_002.srt,tx_002,71,"00:02:52,878","00:02:58,799",5.921,public interest standard and news,5,33
tx_002.srt,tx_002,72,"00:02:55,199","00:03:02,479",7.28,distortion policies to enact a regime of,7,40
tx_002.srt,tx_002,73,"00:02:58,800","00:03:02,480",3.68,censorship and most notably the over a,7,38
tx_002.srt,tx_002,74,"00:03:02,479","00:03:04,639",2.16,over a over a over a over a over a over,11,39
tx_002.srt,tx_002,75,"00:03:02,479","00:03:07,278",4.799,a over a over a over a overt uh overt uh,11,40
tx_002.srt,tx_002,76,"00:03:04,639","00:03:10,558",5.919,threatening of licenses of broadcasters,5,39
tx_002.srt,tx_002,77,"00:03:07,280","00:03:13,360",6.08,for carrying Jimmy Kimmel live show. to,7,39
tx_002.srt,tx_002,78,"00:03:10,560","00:03:15,199",4.639,"the last point. Senator Cruz, who I",7,35
tx_002.srt,tx_002,79,"00:03:13,360","00:03:17,360",4.0,"rarely agree with, aptly described",5,34
tx_002.srt,tx_002,80,"00:03:15,199","00:03:19,998",4.799,Chairman Carr's threats as akin to,6,34
tx_002.srt,tx_002,81,"00:03:17,360","00:03:22,318",4.958,something out of a mafia movie. And let,8,39
tx_002.srt,tx_002,82,"00:03:20,000","00:03:25,599",5.599,"me just say, I don't see any Michael",8,36
tx_002.srt,tx_002,83,"00:03:22,318","00:03:29,039",6.721,"Corleó in this room today, only afraid",7,38
tx_002.srt,tx_002,84,"00:03:25,598","00:03:32,639",7.041,of. So my question is to Commissioner,7,37
tx_002.srt,tx_002,85,"00:03:29,039","00:03:34,957",5.918,"Gomez. For nearly 90 years, the FCC has",8,39
tx_002.srt,tx_002,86,"00:03:32,639","00:03:37,999",5.36,functioned as an independent agency to,6,38
tx_002.srt,tx_002,87,"00:03:34,959","00:03:39,840",4.881,insulate communications policy from,4,35
tx_002.srt,tx_002,88,"00:03:38,000","00:03:42,480",4.48,political pressure. Can you explain why,6,39
tx_002.srt,tx_002,89,"00:03:39,840","00:03:44,559",4.719,the FCC's independence is essential to,6,38
tx_002.srt,tx_002,90,"00:03:42,479","00:03:46,639",4.16,its credibility and effectiveness and,5,37
tx_002.srt,tx_002,91,"00:03:44,560","00:03:48,798",4.238,what potential risks arise as that,6,34
tx_002.srt,tx_002,92,"00:03:46,639","00:03:51,039",4.4,independence is eroded?,3,23
tx_002.srt,tx_002,93,"00:03:48,799","00:03:52,560",3.761,">> Uh, thank you for that question. You",8,39
tx_002.srt,tx_002,94,"00:03:51,039","00:03:54,317",3.278,"know, when Congress created our",5,31
tx_002.srt,tx_002,95,"00:03:52,560","00:03:56,640",4.08,"predecessor, the uh Federal Radio",5,33
tx_002.srt,tx_002,96,"00:03:54,318","00:03:58,157",3.839,"Commission, it considered putting the",5,37
tx_002.srt,tx_002,97,"00:03:56,639","00:04:00,158",3.519,commission under the Department of,5,34
tx_002.srt,tx_002,98,"00:03:58,158","00:04:02,238",4.08,Commerce. And Herbert Hoover at the time,7,40
tx_002.srt,tx_002,99,"00:04:00,158","00:04:05,839",5.681,said it was a terrible idea because it,8,38
tx_002.srt,tx_002,100,"00:04:02,239","00:04:07,599",5.36,was dangerous to have the regulator of,7,38
tx_002.srt,tx_002,101,"00:04:05,840","00:04:11,120",5.28,the most important communications medium,5,40
tx_002.srt,tx_002,102,"00:04:07,598","00:04:13,199",5.601,at the time um being overseen by a,8,34
tx_002.srt,tx_002,103,"00:04:11,120","00:04:15,039",3.919,single person. And so that's why it,7,35
tx_002.srt,tx_002,104,"00:04:13,199","00:04:17,198",3.999,created an independent agency. It's,5,35
tx_002.srt,tx_002,105,"00:04:15,039","00:04:20,077",5.038,important to have an independent agency,6,39
tx_002.srt,tx_002,106,"00:04:17,199","00:04:22,960",5.761,because we must be seen as an expert,8,36
tx_002.srt,tx_002,107,"00:04:20,079","00:04:25,279",5.2,body that makes decisions based on that,7,39
tx_002.srt,tx_002,108,"00:04:22,959","00:04:27,359",4.4,expertise and not based on the political,7,40
tx_002.srt,tx_002,109,"00:04:25,279","00:04:29,758",4.479,whims of one administration.,4,28
tx_002.srt,tx_002,110,"00:04:27,360","00:04:31,999",4.639,"Commissioner Gomez, how do FCC media",6,36
tx_002.srt,tx_002,111,"00:04:29,759","00:04:34,560",4.801,ownership caps support diversity of,5,35
tx_002.srt,tx_002,112,"00:04:32,000","00:04:36,960",4.96,viewpoints and locally focused news? And,6,40
tx_002.srt,tx_002,113,"00:04:34,560","00:04:38,479",3.919,what do communities risk losing if these,7,40
tx_002.srt,tx_002,114,"00:04:36,959","00:04:41,119",4.16,limits are weakened?,3,20
tx_002.srt,tx_002,115,"00:04:38,478","00:04:42,718",4.24,>> Our core principles uh when we talk,8,38
tx_002.srt,tx_002,116,"00:04:41,120","00:04:45,759",4.639,about the public interest in local,6,34
tx_002.srt,tx_002,117,"00:04:42,720","00:04:48,239",5.519,"broadcasting are localism, diversity of",5,39
tx_002.srt,tx_002,118,"00:04:45,759","00:04:51,039",5.28,viewpoints and competition. The caps,5,36
tx_002.srt,tx_002,119,"00:04:48,240","00:04:53,680",5.44,ensure that we have multiple voices in,7,38
tx_002.srt,tx_002,120,"00:04:51,040","00:04:56,080",5.04,every market. That is why we have them.,8,39
tx_002.srt,tx_002,121,"00:04:53,680","00:04:58,960",5.28,We want to ensure that we have that. If,9,39
tx_002.srt,tx_002,122,"00:04:56,079","00:05:00,878",4.799,"we lose those caps, what we are going to",9,40
tx_002.srt,tx_002,123,"00:04:58,959","00:05:04,878",5.919,lose is that diversity of viewpoints and,7,40
tx_002.srt,tx_002,124,"00:05:00,879","00:05:07,197",6.318,we risk having one voice funneling all,7,38
tx_002.srt,tx_002,125,"00:05:04,879","00:05:08,478",3.599,the information to our voters.,5,30
tx_002.srt,tx_002,126,"00:05:07,199","00:05:10,159",2.96,">> With that, I yield back.",6,27
tx_002.srt,tx_002,127,"00:05:08,478","00:05:12,319",3.841,">> Thanks, gentle lady. Chair now recognize",7,43
tx_002.srt,tx_002,128,"00:05:10,160","00:05:12,320",2.16,jump.,1,5
tx_003.srt,tx_003,1,"00:00:00,080","00:00:03,439",3.359,The Trump administration's pressuring of,5,40
tx_003.srt,tx_003,2,"00:00:01,600","00:00:03,520",1.92,ABC to suspend Jimmy Kimmel show in,7,35
tx_003.srt,tx_003,3,"00:00:03,520","00:00:07,120",3.6,response to his comments on Charlie Kirk,7,40
tx_003.srt,tx_003,4,"00:00:05,120","00:00:08,879",3.759,is beyond McCarthyism and an extreme,6,36
tx_003.srt,tx_003,5,"00:00:07,120","00:00:10,399",3.279,abuse of power. This action comes just,7,38
tx_003.srt,tx_003,6,"00:00:08,880","00:00:12,159",3.279,two days after President Trump sued the,7,39
tx_003.srt,tx_003,7,"00:00:10,400","00:00:13,360",2.96,"book publisher Penguin Random House, the",6,40
tx_003.srt,tx_003,8,"00:00:12,160","00:00:14,719",2.559,"New York Times, and four of their",7,33
tx_003.srt,tx_003,9,"00:00:13,359","00:00:16,238",2.879,reporters for stories the president,5,35
tx_003.srt,tx_003,10,"00:00:14,718","00:00:17,198",2.48,disliked. Jimmy Kimmel is just the,6,34
tx_003.srt,tx_003,11,"00:00:16,239","00:00:19,037",2.798,latest target in the Trump,5,26
tx_003.srt,tx_003,12,"00:00:17,199","00:00:20,800",3.601,administration's unconstitutional plan,3,38
tx_003.srt,tx_003,13,"00:00:19,039","00:00:22,400",3.361,to silence its critics and control what,7,39
tx_003.srt,tx_003,14,"00:00:20,800","00:00:24,559",3.759,"the American people watch, say, and",6,35
tx_003.srt,tx_003,15,"00:00:22,399","00:00:26,399",4.0,read. We have a constitutional right to,7,39
tx_003.srt,tx_003,16,"00:00:24,559","00:00:28,398",3.839,"free speech and free expression, and we",7,39
tx_003.srt,tx_003,17,"00:00:26,399","00:00:29,677",3.278,at the ACLU aren't scared. We're not,7,36
tx_003.srt,tx_003,18,"00:00:28,399","00:00:32,479",4.08,backing down in our defense of that,7,35
tx_003.srt,tx_003,19,"00:00:29,678","00:00:32,479",2.801,right.,1,6
tx_004.srt,tx_004,1,"00:00:00,240","00:00:07,759",7.519,You may think of Jimmy Kimmel as comedy,8,39
tx_004.srt,tx_004,2,"00:00:04,160","00:00:07,919",3.759,"or entertainment, but censoring him",5,35
