file,clip_id,cue_index,timestamp_range,start_tc,end_tc,duration_sec,loop_bin,intensity,score,text
tx_019.srt,tx_019,206,"00:06:04,735 --> 00:06:06,570","00:06:04,735","00:06:06,570",1.8349999999999795,micro,max,45,WE HOLD BROADCASTERS ACCOUNTABLE TO PUBLIC INTEREST OBLIGATIONS
tx_002.srt,tx_002,76,"00:03:04,639 --> 00:03:10,558","00:03:04,639","00:03:10,558",5.918999999999983,phrase,max,43,threatening of licenses of broadcasters
tx_013.srt,tx_013,157,"00:06:09,769 --> 00:06:11,271","00:06:09,769","00:06:11,271",1.5020000000000095,micro,max,41,of fines or license revocations
tx_013.srt,tx_013,315,"00:12:35,388 --> 00:12:38,191","00:12:35,388","00:12:38,191",2.8029999999999973,short,max,37,Carr leaned on broadcasters to take down Kimmel.
tx_020.srt,tx_020,36,"00:01:14,640 --> 00:01:19,680","00:01:14,640","00:01:19,680",5.040000000000006,phrase,max,37,the greatest threats to free speech in
tx_009.srt,tx_009,50,"00:00:47,012 --> 00:00:49,181","00:00:47,012","00:00:49,181",2.168999999999997,short,max,35,THREATS OF. REGULATORY ACTION.
tx_019.srt,tx_019,205,"00:06:02,166 --> 00:06:04,724","00:06:02,166","00:06:04,724",2.5579999999999927,short,max,35,SO I THINK IT’S IMPORTANT THAT WE HOLD BROADCASTERS ACCOUNTABLE
tx_022.srt,tx_022,202,"00:07:47,501 --> 00:07:50,304","00:07:47,501","00:07:50,304",2.8029999999999973,short,max,35,after facing pressure from Donald Trump's FCC.
tx_019.srt,tx_019,264,"00:07:52,878 --> 00:07:53,835","00:07:52,878","00:07:53,835",0.9569999999999936,micro,high,34,CENTENNIAL MINUTE WHERE BROADCASTERS WOULD DO A MINUTE
tx_019.srt,tx_019,233,"00:07:00,124 --> 00:07:01,124","00:07:00,124","00:07:01,124",1.0,micro,high,34,BROADCASTERS TO AIR PRO AMERICA PATRIOTIC PROGRAMMING TO
tx_013.srt,tx_013,151,"00:05:53,954 --> 00:05:56,790","00:05:53,954","00:05:56,790",2.8360000000000127,short,high,34,that a lot of these licensed broadcasters themselves
tx_022.srt,tx_022,323,"00:12:17,604 --> 00:12:21,375","00:12:17,604","00:12:21,375",3.770999999999958,short,high,34,There's a reason free speech is in the very First Amendment.
tx_003.srt,tx_003,16,"00:00:24,559 --> 00:00:28,398","00:00:24,559","00:00:28,398",3.8389999999999986,short,high,33,"free speech and free expression, and we"
tx_006.srt,tx_006,59,"00:02:26,560 --> 00:02:33,359","00:02:26,560","00:02:33,359",6.799000000000007,phrase,high,33,Carr's u mafia boss threats against the
tx_019.srt,tx_019,215,"00:06:22,120 --> 00:06:23,977","00:06:22,120","00:06:23,977",1.856999999999971,micro,high,32,YOU ANNOUNCED THE CAMPAIGN ENCOURAGING BROADCASTERS TO AIR
tx_019.srt,tx_019,239,"00:07:07,966 --> 00:07:09,857","00:07:07,966","00:07:09,857",1.8910000000000196,micro,high,32,BROADCASTERS HAVE EMBRACED IT. SOME ON THE LEFT PUSHED BACK.
tx_019.srt,tx_019,216,"00:06:23,988 --> 00:06:25,946","00:06:23,988","00:06:25,946",1.9580000000000268,micro,high,32,"ENCOURAGING BROADCASTERS TO AIR MORE PRO AMERICA CONTENT, SUCH"
tx_022.srt,tx_022,211,"00:08:09,489 --> 00:08:11,491","00:08:09,489","00:08:11,491",2.0020000000000095,short,high,32,Trump promised to end government censorship
tx_019.srt,tx_019,265,"00:07:53,846 --> 00:07:55,946","00:07:53,846","00:07:55,946",2.1000000000000227,short,high,32,"BROADCASTERS WOULD DO A MINUTE EVERY DAY, SOMETHING ABOUT THE"
tx_019.srt,tx_019,238,"00:07:05,564 --> 00:07:07,964","00:07:05,564","00:07:07,964",2.3999999999999773,short,high,32,INTERESTING. BROADCASTERS HAVE EMBRACED IT.
tx_009.srt,tx_009,337,"00:06:09,769 --> 00:06:12,370","00:06:09,769","00:06:12,370",2.600999999999999,short,high,32,"BROADCASTERS ARE GOING TO, YOU"
tx_019.srt,tx_019,232,"00:06:57,388 --> 00:07:00,090","00:06:57,388","00:07:00,090",2.701999999999998,short,high,32,CAMPAIGN WHICH ALLOWS BROADCASTERS TO AIR PRO AMERICA
